File Path                                                                                                                                                       , Part                , TargetClockPeriod, Best-caseLatency, Worst-caseLatency, BRAM_18K, LUT  , DSP, FF   , Avialable_BRAM_18K, Avialable_LUT, Avialable_DSP, Avialable_FF
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/ecc_flags/project/solution1/syn/report/csynth.xml                                       , xcu280-fsvh2892-2L-e,             10.00, 111             , 111              ,        0,  4785,   3,  4931,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/manual_burst_with_conditionals/project/solution1/syn/report/csynth.xml                  , xcu280-fsvh2892-2L-e,             10.00, 837             , 268436296        ,       10,  4916,   2,  3357,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/maxi_cache_locality/project/solution1/syn/report/csynth.xml                             , xcu280-fsvh2892-2L-e,             10.00, undef           , undef            ,        8,  3526,   3,  3015,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/using_double/project/solution1/syn/report/csynth.xml                                    , xcu280-fsvh2892-2L-e,             10.00, 29              , 29               ,        0,   430,   0,   128,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/simple_data_driven/project/solution1/syn/report/csynth.xml                              , xcu280-fsvh2892-2L-e,             10.00, 1               , 1                ,        0,   232,   0,    18,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/aggregation_of_m_axi_ports/project/solution1/syn/report/csynth.xml                      , xcu280-fsvh2892-2L-e,             10.00, 31              , 31               ,        2,  1385,   0,  1284,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/interface_stream/project/solution1/syn/report/csynth.xml                                , xcu280-fsvh2892-2L-e,             10.00, 1028            , 1028             ,        0,   146,   0,    18,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/native_casts/project/solution1/syn/report/csynth.xml                                    , xcu280-fsvh2892-2L-e,             10.00, 410             , 410              ,        0,   230,   0,    31,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/max_widen_port_width/project/solution1/syn/report/csynth.xml                            , xcu280-fsvh2892-2L-e,             10.00, 81              , 81               ,        2,  1235,   0,  1152,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/pipelined_loop/project/solution1/syn/report/csynth.xml                                  , xcu280-fsvh2892-2L-e,             10.00, 405             , 405              ,        0,   165,   1,    68,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/using_fifos/project/solution1/syn/report/csynth.xml                                     , xcu280-fsvh2892-2L-e,             10.00, 22              , 55               ,       30, 10068,   0, 11830,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/unsynchronized_io_scalar/project/solution1/syn/report/csynth.xml                        , xcu280-fsvh2892-2L-e,             10.00, 1               , 1                ,        0,   309,   0,   142,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/variable_bound_loops/project/solution1/syn/report/csynth.xml                            , xcu280-fsvh2892-2L-e,             10.00, 2               , 33               ,        0,   107,   0,    21,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/static_array_ROM/project/solution1/syn/report/csynth.xml                                , xcu280-fsvh2892-2L-e,             10.00, 1               , 1                ,        1,    31,   0,     6,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/fixed_point_sqrt/project/solution1/syn/report/csynth.xml                                , xcu280-fsvh2892-2L-e,             10.00, 34              , 34               ,        0,   596,   0,   124,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/basic_pointers/project/solution1/syn/report/csynth.xml                                  , xcu280-fsvh2892-2L-e,             10.00, 0               , 0                ,        0,    39,   0,    33,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/basic_loops_primer/project/solution1/syn/report/csynth.xml                              , xcu280-fsvh2892-2L-e,             10.00, 12              , 12               ,        0,   106,   0,    19,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/split_load_balance/project/solution1/syn/report/csynth.xml                              , xcu280-fsvh2892-2L-e,             10.00, 18              , 18               ,        0,   442,   0,    68,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/auto_burst_inference_failure/project/solution1/syn/report/csynth.xml                    , xcu280-fsvh2892-2L-e,             10.00, undef           , undef            ,       18,  1804,   0,  1276,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/static_array_of_struct_with_array_RAM/project/solution1/syn/report/csynth.xml           , xcu280-fsvh2892-2L-e,             10.00, 1               , 1                ,        3,   236,   0,    17,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/using_pipos/project/solution1/syn/report/csynth.xml                                     , xcu280-fsvh2892-2L-e,             10.00, 308             , 308              ,        0,   489,   0,   102,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/aggregation_of_struct/project/solution1/syn/report/csynth.xml                           , xcu280-fsvh2892-2L-e,             10.00, 12              , 12               ,        0,   240,   0,    39,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/stream_better/project/solution1/syn/report/csynth.xml                                   , xcu280-fsvh2892-2L-e,             10.00, 3               , 3                ,        0,   143,   0,    68,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/unique_task_regions/project/solution1/syn/report/csynth.xml                             , xcu280-fsvh2892-2L-e,             10.00, undef           , undef            ,        0,  1712,   0,   881,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/maxi_cache_conditional/project/solution1/syn/report/csynth.xml                          , xcu280-fsvh2892-2L-e,             10.00, undef           , undef            ,        2,  1666,   0,  1861,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/using_array_of_streams/project/solution1/syn/report/csynth.xml                          , xcu280-fsvh2892-2L-e,             10.00, 33              , 33               ,        0,   417,   0,   182,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/axi_stream_to_master/project/solution1/syn/report/csynth.xml                            , xcu280-fsvh2892-2L-e,             10.00, undef           , undef            ,        8,  2326,   0,  1911,               4032,       1303680,          9024,      2607360
/home/user/zedongpeng/workspace/Vitis-HLS-Introductory-Examples-flatten/simple_fifos/project/solution1/syn/report/csynth.xml                                    , xcu280-fsvh2892-2L-e,             10.00, 308             , 308              ,        0,   489,   0,   102,               4032,       1303680,          9024,      2607360
